OBJECTID,FACILITYID,INSTALLDATE,MATERIAL,DIAMETER,WATERTYPE,TRANSMISS,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,Shape_Length,GlobalID,geometry,ResourceID
16,WM-16,000000,Unknown,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,298.9177490244015,{B9836425-AC57-412A-AC27-C9644B4AE4EB},"LINESTRING (-88.13091079884228 41.767341639855424,-88.13068745279242 41.767341606288,-88.13056364024497 41.767341587725774,-88.130355730178 41.76734155554434,-88.13018908533745 41.767341532929834,-88.12997351440634 41.76734150001675,-88.1298341420108 41.7673414783369,-88.12981506562213 41.767341474259375)",b16dc0ee-836e-496d-b60a-95c685f0c2bd
17,WM-17,19890101,Polyvinyl Chloride,12",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,226.4714371239237,{78D74DD6-C920-4C6E-9935-A63974FDD5BD},"LINESTRING (-88.18208406508768 41.779823820088176,-88.18214864195711 41.779804796674355,-88.18243416136387 41.77972068014816,-88.18251816098349 41.7796975214563,-88.18282247843963 41.779847795910285)",a6580428-29fa-42c5-b6bb-f8e8f94f04e5
18,WM-18,20010101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,75.20451503324031,{E0242A74-8F59-4C84-BF15-0274FF9206BF},"LINESTRING (-88.15624177391462 41.78674449431606,-88.15617735704942 41.786690472316685,-88.15611029977681 41.786634234017974,-88.15611046116338 41.78657563239899)",907b0464-6509-4186-96de-308cc87ee3eb
19,WM-19,19850101,Ductile Iron,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,403.09798739327465,{BDEF3366-1270-4DC5-A120-7D5848C70010},"LINESTRING (-88.12835612210074 41.779522722509334,-88.12831594851798 41.77841690766138)",52b0d723-1137-4776-94c9-b5ab16068ceb
20,WM-20,19850101,Ductile Iron,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,468.38544894467486,{9C1ACBD6-47B0-4AE8-87AC-A59E25A34804},"LINESTRING (-88.12831594851798 41.77841690766138,-88.12830677945365 41.778164542892554,-88.12874315483181 41.7778040599369,-88.128748944879 41.77779927851387,-88.12875824373782 41.77779900155361,-88.12878963369133 41.777798069744684,-88.12882024893146 41.777797163558986,-88.12885639537896 41.777796088937656,-88.12891604015044 41.777794388947676,-88.12911344578656 41.777788757999474,-88.12916868654443 41.777787181502994,-88.12938779217976 41.77778093227861,-88.1294697889914 41.77777744754108)",6f978e26-d536-403a-b60e-5263ddd2353d
21,WM-21,20000101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,206.2160832238122,{B3AE0784-7154-4BD4-800E-6FDE139A377E},"LINESTRING (-88.12962687427176 41.77256102587928,-88.12953015130046 41.77263644441686,-88.12951954218615 41.772746527524646,-88.12952547156209 41.77287690626391,-88.12953275501128 41.77303700121704,-88.12953549998178 41.773097325976885)",f74feed7-0472-4770-8424-cbfd6b91efe9
22,WM-22,19790101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,344.79025730317574,{5D855C42-8B15-41F6-9DBF-41FB1CBC9531},"LINESTRING (-88.12845912819517 41.78248547264758,-88.12827548712555 41.782411608806164,-88.12818841162834 41.78237658681385,-88.1281015272523 41.782341639826846,-88.12787255802357 41.78222377917125,-88.12774530059991 41.78214578899838,-88.12769824171676 41.7821169471955,-88.12761233837013 41.782064302264395,-88.12760074723907 41.78205670225564,-88.12754872162756 41.78202259067796,-88.12746218325341 41.78196585054741,-88.12742880004853 41.7819439596285)",d5adc21e-42af-44e7-b893-724b81670113
23,WM-23,19790101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,98.02013211057832,{622241D7-7904-4270-81DB-8511C9A4F326},"LINESTRING (-88.12742880004853 41.7819439596285,-88.12742442697302 41.78194109494014,-88.1273997546583 41.78192994474466,-88.12735259593995 41.78191134694672,-88.12730967782244 41.78190055297431,-88.12730317433368 41.78189695246604,-88.1272391436592 41.781881691719725,-88.12713800080998 41.78186972899147,-88.12708958376176 41.781867709905946)",9d65fdeb-093c-4f3f-9e10-85b9dc794cdb
24,WM-24,19790101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,5.772270389053797,{88806AC2-BC7E-48E8-B0D6-2BC1D521AB25},"LINESTRING (-88.12708958376176 41.781867709905946,-88.12706845249483 41.78186682923007)",7406e3b0-a19d-4a21-8731-e0127e8667df
25,WM-25,000000,Unknown,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,75.54082406883789,{81F4F184-D7DA-4FB7-8A6C-211DE3F8CD4D},"LINESTRING (-88.12828016231603 41.77972077036942,-88.12828260576073 41.77968439646314,-88.12828450436625 41.77967669904681,-88.12828920549302 41.779668304349045,-88.12835612210074 41.779522722509334)",03832dd5-a153-4c52-8b1f-931b561e7b70
26,WM-26,19790101,Ductile Iron,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,73.046868683457,{CAEC1211-35D1-4648-A180-95FEB0311169},"LINESTRING (-88.12507779440743 41.782623343935796,-88.12486964284487 41.782583101979355,-88.12481889680552 41.78257206328116)",355b8164-4e80-4db3-ac3a-88d244c715c9
27,WM-27,19790101,Ductile Iron,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,297.89244758921865,{B294E683-BCD7-4403-8563-1B73FF50C85D},"LINESTRING (-88.12413036617438 41.78271817300252,-88.12410251180263 41.782730139416316,-88.12409794891084 41.782732038074144,-88.12405858251485 41.78274841869639,-88.12399593853905 41.782773535427445,-88.12394695500842 41.782793122685476,-88.12383218333898 41.78284100811542,-88.12379964595436 41.782854411897894,-88.12367420244021 41.78290609974409,-88.12362885934313 41.782924783242905,-88.12351250274695 41.7829727248831,-88.12340571741322 41.783016721399335,-88.12328604432555 41.78306602980186,-88.12324070100648 41.783084712246094,-88.12317352736675 41.783112388977536)",f127fb26-98b2-4302-8575-b6c7f3b17e6e
28,WM-28,19790101,Ductile Iron,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,5.235285986261803,{C606AABA-9AF6-4DA6-8A73-574DBED8022C},"LINESTRING (-88.12260383036694 41.78368192849328,-88.12260446903382 41.7836962877432)",e1112c14-356d-4ec0-b875-7261f9f8b36b
29,WM-29,19850101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,300.61987790389725,{9F416FA2-FAF9-413B-92BE-F4FBD0274044},"LINESTRING (-88.12177413537434 41.783755528970936,-88.12176785489596 41.783758777617514,-88.12164445021634 41.78382265249593,-88.12161656634035 41.783837085242666,-88.1214910827246 41.78390203385785,-88.12145162103616 41.783922458735006,-88.12134113710037 41.783979641311696,-88.12130787511099 41.783996857883245,-88.12118776765833 41.784059022262575,-88.12116285515079 41.78407191626398,-88.12103407489121 41.7841385707777,-88.12101028539767 41.78415088428666,-88.12088755886303 41.78421440215644,-88.12086753861887 41.78422476611841)",5350fab1-f7d3-49d5-ad46-f50545df9d39
30,WM-30,19650101,Cast Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,132.15967685990185,{4FE47BF2-C10A-42A1-B133-46A03659DE06},"LINESTRING (-88.12328846442834 41.77579653285831,-88.12283905949978 41.775932085736656)",6121c29b-8302-4370-b7a6-210ebdf4f48b
31,WM-31,19650101,Cast Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,874.1482514710615,{6A7BA5F4-3A64-4292-A39C-C9676BD976EC},"LINESTRING (-88.12283905949978 41.775932085736656,-88.11978104647615 41.776649747550636)",c7597cc6-aeaf-447e-af9f-f5c93ade5a7d
32,WM-32,19600101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,163.3787448559371,{EE26A87E-EC93-47D8-9E0F-C66CD3A8C65D},"LINESTRING (-88.12429104368009 41.773497036993064,-88.12430412740127 41.77337884120729,-88.12430888191113 41.77333586828137,-88.12434050483812 41.77305020699443)",8a7bebc9-e8d5-4b40-a83c-09e3845e2d24
33,WM-33,19600101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,328.8045362769127,{C6725BE8-E371-4DAD-BFC4-EEC9CD8A2D1C},"LINESTRING (-88.12444729795541 41.77208803261946,-88.12446288733213 41.77195286227361,-88.12448478079403 41.77176299004818,-88.12449573799378 41.771667963013805,-88.12449879718581 41.7716414339394,-88.12450881989804 41.77155454269544,-88.12452336834514 41.77142836867745,-88.12452968226295 41.77137359838723,-88.12454761024108 41.771218132648926,-88.12455096757274 41.771189035373425)",eaa882dd-8735-4422-9880-47478be36f96
34,WM-34,19650101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,26.386434600333057,{7342FF7E-769B-4206-8DD8-4AB6CE34F73F},"LINESTRING (-88.12458243625049 41.77091615340357,-88.1245897386949 41.77084394754417)",c3524952-056e-4a6b-a36e-acc5b63101db
35,WM-35,19650101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,68.43295847439117,{D0585731-C522-4804-968F-36031E841B5D},"LINESTRING (-88.1245897386949 41.77084394754417,-88.12433967227064 41.77082896465541)",0b660acb-b81f-4dbe-b52d-b9c5c96748f8
36,WM-36,19780101,Ductile Iron,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,126.53017344331667,{0DACC91D-684F-40EB-AB33-42936F49CCD2},"LINESTRING (-88.11998739510881 41.77356077423216,-88.11999791129773 41.773464094673066,-88.12002504085133 41.77321468210276)",f68bb66e-d0c1-4f1f-b9f1-74c224b144e6
37,WM-37,19730101,Cast Iron,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,207.21061072386527,{A8A648FE-40B4-4D44-A1FB-1732E3193EEE},"LINESTRING (-88.12008019905748 41.772707116043904,-88.12009436905366 41.77257262435051,-88.12010101617173 41.77250957248558,-88.12011770306229 41.77235121770345,-88.12011902432911 41.77233867088036,-88.12012162842458 41.77230520827819,-88.12013448330241 41.772139947786414)",e98b259a-e8fd-437a-a627-d08a0eb33bcc
38,WM-38,19730101,Cast Iron,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,178.09240203180426,{6ABE13FD-C94E-4EC8-B6DD-BEAF7E6E73B9},"LINESTRING (-88.12027129269224 41.77086772488158,-88.12027348317675 41.77084835760463,-88.12029611865438 41.7706483053017,-88.12031407274671 41.770443620936426,-88.12031962328811 41.77038034731316)",7ccd846d-1498-4607-befd-422f60803b17
39,WM-39,19650101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,71.88420283350268,{8BDC06F3-AA24-4B52-A0D8-86302E6839F8},"LINESTRING (-88.12117621948632 41.77317814299466,-88.12117597448562 41.77304809486568,-88.12118746373173 41.77300340040244,-88.12119415569501 41.77298227671342)",08728f82-be41-46bf-a183-3c8488324031
40,WM-40,19690101,Cast Iron,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,88.47074263132778,{E41F73C9-64B1-4F6D-8B70-05FE9CEB0D62},"LINESTRING (-88.14151918056571 41.7843769203436,-88.141530911606 41.78428417919537,-88.1415435496151 41.784182164025125,-88.1415497584791 41.7841352114872)",e4c135b3-fbfa-4882-9b03-6b6254c40c78
41,WM-41,19760101,Unknown,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,3.1182377326007047,{AF55605F-4EEE-4CBC-BD29-1AF42AED3A0D},"LINESTRING (-88.14150779069966 41.784376173833714,-88.14151918056571 41.7843769203436)",f31598d1-be8b-4ec0-b039-19bce2858c20
42,WM-42,19850101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,270.06521144595445,{C6816445-1788-465D-9322-5B6A1B6E8BBE},"LINESTRING (-88.14639510201995 41.771638139492744,-88.1459904441245 41.771657963659756,-88.14573660843001 41.77168018733641,-88.14540988777698 41.77170879009064)",9f7004da-209f-44a7-a682-0b3202e8c02c
43,WM-43,19900101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,41.35825465159961,{120AD3CC-D788-45C2-BF15-70178438FE4B},"LINESTRING (-88.13688998740727 41.77313013690586,-88.13674205780829 41.773155023844055)",2a4bb5ac-306f-47c9-b828-c9200b6ed067
44,WM-44,19300101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,238.57945179226414,{A38D9F00-5B89-4816-A070-B3C103F625F8},"LINESTRING (-88.14201075141462 41.771074921017636,-88.14184930936304 41.77054838001244,-88.14181509111876 41.7704367795152)",140ed901-54d2-4aac-8cec-da03603e779b
45,WM-45,19300101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,371.2736261589755,{4D14FF16-1866-495C-8B5E-5C9A26DE74AD},"LINESTRING (-88.13797942407547 41.77175959181348,-88.1379506532544 41.771662984217514,-88.13786312696612 41.771369064454476,-88.13783967004969 41.7712903038844,-88.13782092673509 41.771227359027655,-88.13777836715587 41.771084439279036,-88.13776280276596 41.77103217724322,-88.13775127682116 41.77099347616593,-88.13772751902604 41.77091368323807,-88.13770882712876 41.77085090861542,-88.1376908674306 41.77079060403529,-88.13768307423092 41.77076514826508)",307a2504-7197-458f-be5a-c7cc1226e140
46,WM-46,19460101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,309.0001760735538,{F642F1A6-4229-44DA-AC2D-762F8676737D},"LINESTRING (-88.13590903062065 41.77010740268112,-88.13552636731721 41.770165069215,-88.13542136620347 41.77018089327025,-88.13494333159234 41.77025292722094,-88.1348797320193 41.77026251070778,-88.13484540586902 41.77026245141114,-88.13479734231636 41.770257754898715)",5a8f875b-f384-4d94-8eea-b9d59ee054be
47,WM-47,19630101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,351.80757684637365,{4F4A7DE3-F609-449A-B441-64CAFCEA7846},"LINESTRING (-88.1304288428627 41.770718544836384,-88.13014434196293 41.7706905989356,-88.13009239857001 41.77068549653295,-88.12991477608135 41.77066804915186,-88.12983806789617 41.77065642286217,-88.12979829046904 41.7706492584307,-88.12975753099765 41.77064191667434,-88.12969500595466 41.77062435410606,-88.12965976421594 41.77061445335485,-88.12958838174582 41.77058952084943,-88.12931670429617 41.77049462923104,-88.12924577050244 41.77047583059186,-88.12919471203816 41.77046899165175)",0c2b0a11-4ee9-4de1-bb76-13781642ae05
48,WM-48,19630101,Cast Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,19.639155126726475,{9257C3AB-B533-4357-B321-2E415D2966ED},"LINESTRING (-88.12901018092171 41.77149606133565,-88.12893819091926 41.77149671300196)",57af1240-ae5a-4fba-9501-2ae770e4a634
49,WM-49,19760101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,305.8368476091164,{EC28F433-406F-4112-9A11-3409FC9B2943},"LINESTRING (-88.13952657393136 41.77479440604217,-88.13952864738336 41.774753703189276,-88.13953271135854 41.77463511501549,-88.13953679257327 41.77460669020893,-88.13954070808359 41.774516637014564,-88.13954493610846 41.774471002899034,-88.13954803320301 41.77437272619853,-88.1395509475329 41.774327573361234,-88.13955480477637 41.77423968273791,-88.1395590647819 41.774193404013,-88.1395649819984 41.77405448063029,-88.13956727040005 41.773994694018995,-88.13956924921187 41.77395584574987)",9ed5e7a6-30cc-4aec-8999-653e9c7a05cf
50,WM-50,19850101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20170203220128,Esri,352.7661263151076,{2A99CB83-0B80-435B-AFCD-05826D99E172},"LINESTRING (-88.13811273718336 41.77487930624294,-88.13812068567177 41.77472445536599,-88.13812598535144 41.77460062472246,-88.13812633742965 41.77459319911941,-88.13813185128102 41.77447726952988,-88.13813537708492 41.77445530213924,-88.13813939276984 41.774318570694184,-88.13814038700303 41.77429769834607,-88.13814606173919 41.77417827561108,-88.13814774073776 41.7741429923,-88.13815272549058 41.77403810476554,-88.13815843465999 41.773918020315485,-88.13815872500446 41.77391191183906)",84b02c10-157d-45c6-9632-e4abe268cafd
51,WM-51,19760101,Unknown,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,318.1388427057516,{6F79085F-3C03-4175-8B3A-20769193D26E},"LINESTRING (-88.1449947580729 41.77505241469042,-88.14430599512063 41.77503551547251,-88.14386047714625 41.77502458048291,-88.14382905287565 41.77502381016459)",6d949f9a-007b-4d64-af50-8d96e43ffd2a
52,WM-52,19760101,Unknown,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,43.29938692675698,{A2A82377-4A5F-408D-AF8F-BDD75322336B},"LINESTRING (-88.14232277795178 41.77498807615596,-88.1421640557482 41.77498629234931)",66278af3-f702-4780-97e1-691146101346
53,WM-53,19760101,Unknown,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,23.960617597711675,{57F1E2A9-7250-44CA-B47D-40050DAD6E54},"LINESTRING (-88.139510550003 41.77494155698675,-88.13944315111173 41.77493974427697,-88.13944264326413 41.774955009989085)",a4accfe3-be7f-404b-a54f-1b7a03551843
54,WM-54,19760101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,8.078666350750908,{22DE8F45-B021-4AB1-B3C9-BA0ABAD71F36},"LINESTRING (-88.13951333609135 41.77497817048031,-88.13951493148774 41.774956032324766)",10a5a3ac-9707-42ec-b627-d4fa3ee19102
55,WM-55,19790101,Unknown,16",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,5.972350728541889,{E2C95054-7585-476D-B610-CAC748E25CB8},"LINESTRING (-88.1294697889914 41.77777744754108,-88.12949166719878 41.77777678317674)",7e50cc17-f2da-40d9-9ed7-8a7fa1b85769
56,WM-56,19850101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,43.20818651907071,{FAC7C950-25AC-4414-98DE-C7A2A7C352B5},"LINESTRING (-88.12905708333608 41.77512504033444,-88.12902167463643 41.77513327332343,-88.12900223397737 41.77513779188952,-88.1289767724915 41.77514371241387,-88.12891595042589 41.77515785336942,-88.12890580579091 41.77516021137914)",b94b1f69-1282-4a28-887d-37ad26551f29
57,WM-57,19850101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,133.03993027844993,{AA49616F-4FB1-477F-8224-B1EF0E6CAA40},"LINESTRING (-88.13147421074952 41.775250496144764,-88.1315239261785 41.77526115195223,-88.13168591221529 41.77529587168437,-88.13170315355977 41.77529956552392,-88.13177894743691 41.77531581322572,-88.13178513528598 41.77531713861208,-88.13182227185465 41.77543696023142)",bba5c0af-9fdb-429b-8ed7-25443ae307ee
58,WM-58,19850101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,2.464122076218608,{B13664C8-63EC-4C64-B057-F3CB70CD987A},"LINESTRING (-88.13197339407105 41.77592452812193,-88.1319754374869 41.775931115162166)",9bc30d37-2ff2-4a52-b10c-bd2c80486b86
59,WM-59,19850101,Ductile Iron,10",Potable Water,No,True,True,Our Agency,Our Agency,20170203153734,Esri,16.065854141709803,{5B244B18-F7B8-48D5-ACBB-25151DF671B7},"LINESTRING (-88.13074896012328 41.77628202405287,-88.13080506674284 41.77626860671363)",66a5c8dc-0522-4fc4-aa9e-54f4a0d38e2a
60,WM-60,19900101,Ductile Iron,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,177.6792004595292,{277E508E-8C2C-4DF7-A77C-DCC8F4C793D3},"LINESTRING (-88.13477354033347 41.774798633905554,-88.13542310909668 41.774835057953894)",51c913d1-a8ea-40a4-ad78-fdb0932181af
61,WM-61,19900101,Ductile Iron,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,8.48135785731623,{74A6E379-0F7B-4AB8-9448-F0433F16FA35},"LINESTRING (-88.13673758214726 41.77487043822924,-88.13676866783035 41.774870959606744)",73fef3e6-adf3-4b4d-8946-680ff42795b5
62,WM-62,19760101,Unknown,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,19.72152173738777,{AF78B498-354F-4983-BAEF-6B27284FFE56},"LINESTRING (-88.13944264326413 41.774955009989085,-88.13951493148774 41.774956032324766)",fcc84d13-9f9b-4454-869d-52d22ff40364
63,WM-63,19760101,Unknown,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,30.379671662775596,{910CDA88-0F02-41B8-BD31-B82189EAD1BC},"LINESTRING (-88.14232075764352 41.7750203787521,-88.14243203941359 41.77502379151551)",45db6a49-2f7c-41f2-92b8-f91bae4801f4
64,WM-64,19760101,Unknown,10",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,16.603665939539482,{E491AFD7-9CA1-4F21-B95B-734285E5E5FC},"LINESTRING (-88.14243203941359 41.77502379151551,-88.14245505033539 41.77502449601727,-88.14245650904842 41.77499619100157)",4b399cad-a1b3-49ce-96d1-83f80be07ad8
65,WM-65,000000,Unknown,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,156.85273362785088,{30D76E66-A65C-4D2F-AE5C-D74D6A3389D1},"LINESTRING (-88.14642405868554 41.775155190726046,-88.14639934823256 41.77558524531104)",a58f9203-713f-4948-beb0-4813c2fbd0b4
66,WM-66,19760101,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,41.95816719287785,{BBA9703C-9E24-4A42-9EAF-98C2F3987664},"LINESTRING (-88.14516728183814 41.774940866783524,-88.1451637411376 41.77505598240803)",51b7196d-afff-4279-b29a-30d6aa9f20bd
67,WM-67,000000,Ductile Iron,6",Potable Water,No,True,True,Our Agency,Our Agency,20170111111710,Esri,144.60504572313704,{9628AD0E-2C86-4E89-A0C2-E33DC44DE9E2},"LINESTRING (-88.1436948743543 41.775575419041836,-88.14369112772734 41.77563418140065,-88.14368201139646 41.77577718012899,-88.14367164936475 41.77597187568037)",c0ee9e0b-5e43-40ed-88e7-ab03aa022071
68,WM-68,19760101,Ductile Iron,8",Potable Water,No,True,True,Our Agency,Our Agency,20150506135049,Esri,22.660404224699235,{3DB038AC-CB92-4066-9691-3D4169FDFF23},"LINESTRING (-88.14226899877286 41.77592830414583,-88.14226781208745 41.77594921401951,-88.14226546815577 41.77599043507374)",04d86b39-9982-4229-b8e3-139edc1ef05d
