OBJECTID,FACILITYID,INSTALLDATE,LOCDESC,ROTATION,MANUFACTURER,OPERABLE,LASTSERVICE,ENABLED,ACTIVEFLAG,OWNEDBY,MAINTBY,LASTUPDATE,LASTEDITOR,FLOW,GlobalID,geometry,ResourceID
26,HYD-21,000000,,271.1458,Waterous,True,20080806,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{144CBC79-F86E-4DB3-8A34-1D004695B9F7},POINT (-88.17612755205121 41.76771247626946),975da590-78a4-4b7c-b6a6-1617091aca53
28,HYD-23,19990101,,179.5879,Mueller Company,True,20070716,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{BB6FF6B1-AA6D-4D87-9614-B749D1B176D2},POINT (-88.15825837086764 41.76729969319976),9b3cd7ab-2782-4b2c-a921-2ad901a4c909
29,HYD-24,19830101,PipeID:WM-1832,0,Waterous,True,20070714,True,True,Our Agency,Our Agency,20160204212351,Esri,250,{AB06A498-0B0D-40AA-9924-BFA74F0EC416},POINT (-88.16473730376457 41.767240615909266),945a033d-c8dd-4912-b09f-753cdf8a4b23
30,HYD-25,000000,,85.9455,Unknown,True,20080903,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{508306A7-B792-4DD3-B53C-C0B47EDCFDA6},POINT (-88.1694950241822 41.767206669144734),171cdf4b-6377-445c-b8e9-5e19c12c8845
31,HYD-26,000000,,354.2301,Waterous,True,20080809,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{549CD445-C92B-4ECB-B42D-E30E19D9378E},POINT (-88.1704788343934 41.76717088185735),363f76e4-71df-4a2f-9193-0e94bf3a20dc
34,HYD-28,000000,,258.4053,Waterous,True,20080809,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{0EC421D5-41C7-4329-A66A-857EF9700922},POINT (-88.17145143663916 41.76704349330443),290c27ce-fe64-4adf-9044-c452ebcdc193
36,HYD-29,000000,,158.6732,Waterous,True,20080806,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{F6304749-E6F0-4E59-A3FD-AE9201A8F095},POINT (-88.17726378020633 41.76701015669415),90ff08e1-6da1-4415-a617-66169bc102eb
39,HYD-31,000000,,86.3043,Waterous,True,20080809,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{44AEB378-5700-42BC-9C9F-D6CA79B8A264},POINT (-88.17479551468128 41.76682459293024),a4fc7195-6bb4-4416-9e41-65ffffd2fa18
40,HYD-32,000000,,347.901,Waterous,True,20080809,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{D6857767-0FDE-4A55-9C99-9DEC3654AEBB},POINT (-88.17318192792806 41.766818993112494),8c35156b-c910-4488-b257-46b2f6a79ff9
41,HYD-33,19830101,,90.1853,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{2EEECFB0-D83D-478E-971E-433F8ADD79BC},POINT (-88.16644573634386 41.76655840490667),36374a37-4dd8-479e-a785-f1a046f34e89
44,HYD-34,000000,,264.0494,Unknown,True,20080903,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{85ABC3C1-C565-4B34-847F-5B679413A487},POINT (-88.16790112408106 41.7663921188612),fe5e1e9c-16f4-4a78-9c02-a8d18fd97ca4
45,HYD-35,000000,PipeID:WM-4000,0,Waterous,True,20080806,True,True,Our Agency,Our Agency,20160204212351,Esri,250,{4E67D826-2CD8-4332-9158-AFA2F0A430DD},POINT (-88.18096732308958 41.76637154395428),b7b8c6a0-13b3-46d3-979b-9f9dbe21360a
46,HYD-36,19740101,PipeID:WM-3700,0,Clow Corporation,True,20080906,True,True,Our Agency,Our Agency,20160204212352,Esri,0,{862B9061-09C2-4D49-9D0E-2F0B5F4C411F},POINT (-88.17591531268289 41.76621964923274),0108d297-6482-40ee-93cc-9ced1fdc3f34
47,HYD-37,000000,,167.7993,Waterous,True,20080906,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{69A175B9-57B7-4CB1-AC92-00F6EAD1E8F0},POINT (-88.1771954646642 41.76616026033775),d2f5042a-4b8c-4699-8c73-e05341e08014
49,HYD-38,000000,,338.5516,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{D660BC50-794D-4D11-A828-D78465B2BD30},POINT (-88.16601219356804 41.765820820804656),cc4aa46c-f845-41a9-b48e-eea7d9afce6e
55,HYD-40,000000,PipeID:WM-4005,0,Unknown,True,20080903,True,True,Our Agency,Our Agency,20160204212352,Esri,250,{B9455C91-7F80-4BEF-B245-8C58AB4FAA6A},POINT (-88.16931963863479 41.76489056835882),8808e464-a6a8-46eb-bbdd-060791549d2d
62,HYD-41,000000,,157.4375,Unknown,True,20080903,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{D6751F0C-9009-4992-BA89-434256A1EA28},POINT (-88.1715799998467 41.76419864101115),f81611dd-c0df-4753-b71e-5fffe914f8ff
950,HYD-42,000000,,90.2392,Waterous,True,20070717,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{BC6D12D4-AF47-4570-873D-CA9C99CA786D},POINT (-88.15302126804606 41.76858580254111),88735ae0-5553-45c0-89ad-9ff39c94548e
980,HYD-43,19900101,,260.3195,Clow Corporation,True,20080906,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{2FA61990-2FF8-49D3-9978-C249702599AD},POINT (-88.17627704126896 41.76408936611166),26633c3e-184b-4aa8-b16a-313bed6ddec4
997,HYD-45,20000101,,131.5648,Waterous,True,20080718,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{8A0DFB8A-5224-4032-8194-B2A082FF7A89},POINT (-88.12965356175266 41.77258011049348),9a193693-ac31-40f0-ada2-c5c2d69bc2e6
998,HYD-46,20000101,,160.1117,Waterous,True,20080718,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{3959C44F-910A-4C11-A06F-DAF5A7C14C23},POINT (-88.13008345799629 41.77372079213086),6a2c2ca0-ba1e-4dd7-b08f-0eeca9243b51
1001,HYD-47,20000101,,188.3963,Waterous,True,20080718,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{7DC34E36-77DA-4825-B9E9-C2E5BCFF26FF},POINT (-88.13099553236394 41.77345620311445),aef58c1f-e2f1-4fb0-9b6a-f2614a2b996b
1002,HYD-48,20000101,,164.8778,Waterous,True,20080718,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{84AD7656-7B5A-4AB2-B18A-109045A610E9},POINT (-88.1320180603852 41.77340242709781),51ed47b7-dfed-483c-b4eb-8e4d315cb4e7
1004,HYD-49,000000,,346.0282,Waterous,True,20080725,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{FED0B376-466A-4441-8943-2BF4A61A70F5},POINT (-88.13656866531187 41.773049782380525),16f40f92-cf50-436f-aa08-5593d8dcce71
1008,HYD-50,19990101,,354.669,Clow Corporation,True,20081027,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{C31CD4F5-22FD-4434-A871-CF3C9A181258},POINT (-88.14504320757653 41.78652740830719),15b8d386-7445-448c-a7ef-590d91004488
1011,HYD-51,000000,,124.4321,Waterous,True,20070716,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{B5844CEA-DE29-4157-A465-F30CE48D2DA2},POINT (-88.15444177660581 41.768580270945286),894aee51-3261-400a-8acd-a91ae26074ac
1012,HYD-52,19800101,,180.3488,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{8928F9FE-49CC-445C-B045-78FB80AE72B6},POINT (-88.16068284401604 41.76927165265608),ce30a57f-9b3b-4ec0-b577-54ae78dffa32
1016,HYD-53,19980101,,270.251,Waterous,True,20080912,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{1AD5164F-CDC2-44AC-ACAE-8B0E608176EC},POINT (-88.16333664991771 41.78007798284183),ebfe71b9-b396-406c-a7c3-bffc42fbf0be
1018,HYD-54,19870101,PipeID:WM-2745,0,Clow Corporation,True,20081105,True,True,Our Agency,Our Agency,20160204212353,Esri,500,{B4370CDD-0524-41D7-8FBB-96EFF252685E},POINT (-88.16517512662229 41.78346623307305),f760c921-7dfc-4ebd-a69b-c90df0480753
1019,HYD-55,19890101,,150.0408,Clow Corporation,True,20081105,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{8C2E55A3-A640-45DC-BE6D-5DFB52C220B6},POINT (-88.16441179475004 41.78379633235404),ed4b88cc-8730-4199-9476-6adb38a8c6d7
1084,HYD-56,000000,,1.1812,Waterous,True,20080808,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{76CCFBFB-7672-42EA-96CB-68D642C6E202},POINT (-88.12981544203984 41.76732777857423),260213bd-3511-4161-b396-7d0a44d8a81c
1096,HYD-57,19970101,,91.7994,Waterous,True,20070521,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{64DF7CBD-E0DF-4B63-98C7-0F92F9FC8788},POINT (-88.18286298265079 41.78085085359241),825c4c8b-5fa0-4e4a-8370-e32802c6d32d
1097,HYD-58,20010101,,28.7046,Mueller Company,True,20070604,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{77F791E5-13DD-413B-B7AB-7E2D3C7FF156},POINT (-88.18275358471617 41.78157589510052),a99a9eec-54ce-4d28-bca0-a454349092b8
1098,HYD-59,19890101,,329.1486,Clow Corporation,True,20070521,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{2D543D63-B0A5-4E11-80B0-B66356231EDF},POINT (-88.18213372742578 41.77978738923088),03259791-81a8-46fd-906c-c588ac0dc3ea
1099,HYD-60,19890101,,317.0281,Waterous,True,20081030,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{EC2DB5CE-642A-4307-819F-52E24186693B},POINT (-88.13078583611946 41.79034980421013),8414bbad-48b8-4d99-ab41-bf10e7c79ec8
1100,HYD-61,19760101,,270.1466,Clow Corporation,True,20081021,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{FF319A2A-01E3-45AE-B935-1E1F0E2B19CD},POINT (-88.13882354750943 41.78659096512435),b4af9b2b-1b9b-4ba2-a2ff-0590ff3fc9d2
1101,HYD-62,19990101,,269.8337,Clow Corporation,True,20081027,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{80C05D3D-B3A7-47C6-A158-3051C96F28B0},POINT (-88.14414845546187 41.78719126087197),f3444092-68df-401c-9b29-a0680565de0b
1102,HYD-63,19800101,,1.4399,Waterous,True,20081021,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{78FF4D4A-847E-45BD-B233-FE7F0EE4A087},POINT (-88.14709346716388 41.787333554435186),ac93f5c8-3ef3-4591-bd6e-c24d85a665fd
1103,HYD-64,20010101,,299.5938,Mueller Company,True,20081031,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{C46900EC-CB8B-47EF-848E-948E30533165},POINT (-88.15651814877575 41.7867917820507),8869a1a9-ecc1-43cf-88a8-dabd791295fa
1105,HYD-65,19690101,,169.5324,Waterous,True,20081007,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{844800CC-AA4B-4F12-81BE-4026C76105ED},POINT (-88.16065948504053 41.785961415126415),963b56eb-92cd-4f2e-af88-0e17096d4dd1
1122,HYD-67,19970101,1003 Erb Farm Ct.,102.3598,Clow Corporation,True,20090226,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{F8F536B3-0363-4C66-8606-2B310193C88C},POINT (-88.16839797612347 41.795402225809234),5b8c5cb9-e5fe-45f6-94dd-feeae1f14d2b
1123,HYD-68,19970101,,259.9305,Clow Corporation,True,20081030,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{B4FA4A74-01BE-4191-8E5C-BFCD1F14EEE9},POINT (-88.16140860940374 41.79643172226793),fca62941-281b-4a4f-9840-349b356c0e81
1126,HYD-69,000000,,9.332,Waterous,True,20081009,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{CC4C5093-4800-45D8-8CB4-4030AD379B3A},POINT (-88.15204208527778 41.794210893654885),d46e39a8-bc89-438d-b01c-96736027973f
1127,HYD-70,19970101,,269.7823,Clow Corporation,True,20081030,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{74FE8D94-FC76-4090-9FD8-1590CFC1E210},POINT (-88.15580027040441 41.793219555431875),116fcfc1-472b-458f-803e-df3afc38199a
1128,HYD-71,19740101,PipeID:WM-718,0,Waterous,True,20081015,True,True,Our Agency,Our Agency,20160204212354,Esri,1000,{BEB1FBE8-8CEC-4AEC-B957-60CD5513A587},POINT (-88.14841996408036 41.79423393306202),56c7ec6e-d4b9-408e-874e-4f4a617e78fc
1180,HYD-75,000000,,89.9223,Clow Corporation,True,20070801,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{51BF7215-AAEB-45E5-BFF9-20C0A137E27C},POINT (-88.14830022288285 41.76925786386341),f9663fc5-2470-4e77-89b1-fe77cdb54e0c
1181,HYD-76,19710101,,80.4747,Clow Corporation,True,20070730,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{B32AA1F1-E28F-44A7-A65E-4D8BE62A8691},POINT (-88.15901148583617 41.76673712237982),bf83d803-33e5-429b-94d8-11dbd2dfb8d1
1182,HYD-77,000000,,84.9199,Clow Corporation,True,20070716,True,True,Our Agency,Our Agency,20150506135219,Esri,1000,{357D795B-8592-431B-A991-CE2C50C357FB},POINT (-88.15910335250746 41.767396007612085),0bbe242a-42c5-493a-bd87-670695610677
1183,HYD-78,20010101,,28.3077,Waterous,True,20070714,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{66AF6696-80B1-4EF1-BE74-ACF1B1768BE7},POINT (-88.15990053548151 41.767598833391055),84aff698-ee04-4fd2-8c13-fea7de57257a
1188,HYD-79,000000,,43.2858,Waterous,True,20070802,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{D0C1FE80-AEF8-4FC1-924E-2F6DC7A379D3},POINT (-88.16339348940394 41.768957833666086),943fc894-bcf1-4e5f-9287-e588d8a06e59
1730,HYD-80,19850101,,249.932,Waterous,True,20080717,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{EB75DA6E-95C1-45F6-A389-7087CC7EAFD1},POINT (-88.12412065802152 41.78459449969655),ad31bce7-2149-49a5-91cd-69469792c350
1731,HYD-81,19850101,,325.1849,Clow Corporation,True,20080718,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{E3480395-7A23-431E-B000-024AD29C694B},POINT (-88.1208556309381 41.784211876118846),a18be3cd-0ae8-4119-880c-1ca9574006f9
1736,HYD-82,19790101,,331.8089,Waterous,True,20080718,True,True,Our Agency,Our Agency,20150506135219,Esri,1500,{E83E130E-A08E-4BDA-A1E6-16B5CED76DD5},POINT (-88.12412367951724 41.782708779949196),d34b597f-e370-4778-80ab-8a97b7482f06
1757,HYD-83,19780101,,94.8969,Clow Corporation,True,20080801,True,True,Our Agency,Our Agency,20150506135219,Esri,1500,{3FF3DCE0-F1D6-47C1-8C70-A7493539EDA6},POINT (-88.11986185839518 41.77491217081736),a5c98476-b70d-40d4-b016-cec19edb24a0
1758,HYD-84,19650101,PipeID:WM-920,0,Waterous,True,20080729,True,True,Our Agency,Our Agency,20160204212355,Esri,500,{CD00B10B-FCD7-4B02-9CFC-6005F0000359},POINT (-88.1227965965033 41.774840934643606),5b47b88c-dcdf-4601-a959-53f08b86ce2e
1760,HYD-85,19590101,,167.8048,Waterous,True,20080725,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{0A0FE850-084E-48E7-A39E-6382CB3F5BCB},POINT (-88.1279204602642 41.77315920129587),455f2184-25de-42ad-9a74-5dae473d0c9b
1762,HYD-86,19650101,PipeID:WM-1465,0,Waterous,True,20080729,True,True,Our Agency,Our Agency,20160204212355,Esri,250,{40D3A9D8-AE5D-44F1-B1F6-F2659454A197},POINT (-88.12295215097699 41.77302256827098),da7b4743-ddbe-4754-afa0-5397fdb0aae8
1763,HYD-87,19650101,PipeID:WM-1468,0,Waterous,True,20080801,True,True,Our Agency,Our Agency,20160204212356,Esri,250,{E6E1DDB9-E808-4F7E-A222-70EE824E3236},POINT (-88.12120164917039 41.77298400394215),3e5d3b33-99b7-421f-b3f9-d0d00cabb698
1766,HYD-88,19600101,,161.8392,Waterous,True,20080729,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{EE52B606-1E69-4222-9E03-41B8C9D6C36C},POINT (-88.12596800535785 41.77273153061889),4d663c62-b300-4007-9581-fee074da5f13
1768,HYD-89,19600101,,162.4924,Waterous,True,20080725,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{C3C888C5-A886-43EC-8FCC-70EA0DF7027B},POINT (-88.12731142522566 41.772391678555636),dcae9b35-6f64-4f6f-bde3-c40449dc18c1
1771,HYD-90,19680101,,205.245,Waterous,True,20080812,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{22B3F584-641D-4723-8684-75AE757CA7D8},POINT (-88.12273259113326 41.77039223539657),02ffb46f-4e9e-4e16-98c1-bc1508944e40
1772,HYD-91,19650101,,247.2478,Waterous,True,20080729,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{8CA58F3C-8BA4-419D-A33A-8F425A4F6C4C},POINT (-88.12824274679396 41.77030484080963),87ec0305-48e9-4218-af1c-d7e797c9541e
1777,HYD-92,19600101,,136.2283,Waterous,True,20080729,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{F56B5F44-7510-46D1-8317-B8E96139B7DE},POINT (-88.12737057095067 41.77177554832505),d4728a19-574f-42dd-9097-8b180a1746f8
1780,HYD-93,19650101,,96.4253,Waterous,True,20080811,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{730A3FD6-3560-4AA4-964A-38FBD5D216A2},POINT (-88.1246930368264 41.77034228735259),7d1f35a7-cb72-48e9-813a-be0ee6051b46
1781,HYD-94,19780101,,3.8199,Waterous,True,20080813,True,True,Our Agency,Our Agency,20150506135219,Esri,1500,{A9702A46-708D-48B8-9685-343988A24314},POINT (-88.11968729861269 41.776500046297635),cdb3e720-1158-45a9-97f4-6dce61fb6192
1782,HYD-95,19650101,,158.2711,Waterous,True,20080801,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{4494C99A-D2E5-484C-9372-CE21BC980EB1},POINT (-88.12167764769289 41.77381874040451),56eed7c8-e63b-4524-a0ca-f295980078d7
1783,HYD-96,19780101,,94.65,Waterous,True,20080801,True,True,Our Agency,Our Agency,20150506135219,Esri,1500,{C804BFE0-5FCF-444D-8E91-5FF0ACB0C485},POINT (-88.11995177738078 41.774064920867076),40a4462a-05c9-45d3-90ca-3e81a222c4f4
1785,HYD-97,19790101,,346.1696,Waterous,True,20080724,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{503E46DF-A61F-46AC-B414-6B404962C7DA},POINT (-88.13458061239898 41.784520432380035),a903c9d0-e409-4e10-bc82-1efd63fc0a59
1786,HYD-98,19790101,PipeID:WM-558,0,Waterous,True,20080724,True,True,Our Agency,Our Agency,20160204212357,Esri,250,{DBB09B2B-9005-4B5E-9C37-40F7ADCA1527},POINT (-88.13344842037073 41.78430965338541),81bc46c0-1b6d-4022-aa72-c9a7892a0522
1787,HYD-99,19790101,,275.7789,Waterous,True,20080724,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{D2D91A9D-05DC-441A-BF03-35768B8E5A21},POINT (-88.13204647456838 41.78405335659867),90747b07-3027-4382-a21b-6d12e2267114
1788,HYD-100,19790101,,335.6907,Waterous,True,20080724,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{5B8E8843-9EB3-4185-8CBE-DD09F17E6C6B},POINT (-88.13566150343945 41.783924534061164),c48d01c4-0b06-4263-8bff-d6e9740d43ff
1789,HYD-101,19830101,,278.0335,Waterous,True,20080725,True,True,Our Agency,Our Agency,20150506135219,Esri,250,{51241DD4-A03B-474E-9F32-17C9734EE244},POINT (-88.13554732689589 41.78289903627445),ec09a724-3d9c-4650-96a1-b9a419592a5c
1790,HYD-102,19850101,PipeID:WM-1006,0,Waterous,True,20080725,True,True,Our Agency,Our Agency,20160204212357,Esri,500,{C765ADD9-9C17-4331-9017-2BE3B444047D},POINT (-88.13084199633246 41.7827575721958),19a56ab6-7976-4af0-beb9-fc913e302745
1791,HYD-103,19830101,,308.5716,Waterous,True,20080725,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{D954E30C-FF56-48C7-A8F3-E802B3FF6FA2},POINT (-88.13471846057865 41.78170097665167),e084d107-c797-4598-ab25-7f554b6c44f4
1792,HYD-104,000000,,92.6617,Waterous,True,20080716,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{B7D7FA78-AD3F-49D2-A239-F18E912AA989},POINT (-88.14614286097986 41.78117984212404),44f0c0db-245e-4385-a650-fa346cd57b51
1793,HYD-105,19890101,PipeID:WM-532,0,Clow Corporation,True,20080721,True,True,Our Agency,Our Agency,20160204212358,Esri,500,{4372677C-F520-4A53-BEC1-50013800A829},POINT (-88.13132003731857 41.779471010853676),9b8cdfed-45e4-4b9c-a66c-86d32c2e7f4e
1794,HYD-106,19890101,,118.2354,Clow Corporation,True,20080721,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{68EE6E3C-5E32-4D5F-A216-F59A45A13696},POINT (-88.13129784610577 41.77907454825978),ad94132b-1030-4ac3-8097-49f6487b3fce
1795,HYD-107,19850101,,87.9224,Waterous,True,20080721,True,True,Our Agency,Our Agency,20150506135219,Esri,1500,{8E8F8808-3F4A-4E06-8470-B2AC8BD17033},POINT (-88.1294979688299 41.77780149402432),d0d8672a-8843-4e6f-aaa6-624f74506862
1796,HYD-108,000000,,92.261,Clow Corporation,True,20080723,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{4DC54C4A-19C0-4038-8BBD-EDA1162EF853},POINT (-88.1394165475521 41.77748419453677),d0c2bceb-03dd-4592-a406-c8f47d0bd76c
1797,HYD-109,000000,,92.1592,Waterous,True,20080801,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{7729CC97-25FC-4DB5-88FA-539DBA331AF5},POINT (-88.1437097379216 41.7760138000607),14c3335a-55ac-4f09-9d07-2de9ba8e2dfc
1798,HYD-110,19850101,,88.182,Waterous,True,20080721,True,True,Our Agency,Our Agency,20150506135219,Esri,500,{21F4471D-8741-4248-B673-814E01FAAF42},POINT (-88.12942769951857 41.7759428039451),322ebaaf-8254-4b7e-bcbd-8256d1e69578
1799,HYD-111,000000,,92.2185,Waterous,True,20080728,True,True,Our Agency,Our Agency,20150506135219,Esri,0,{CC381970-B2A8-45FD-9312-6A9386D5E5F6},POINT (-88.13809928286278 41.775847422923206),210ccbb4-fb1b-4dd0-b73a-e569dbf87506
